,precision,recall,f1-score,support
Season 1,0.26762246117084826,0.28176100628930817,0.2745098039215686,795.0
Season 2,0.259131633356306,0.3840653728294178,0.30946502057613173,979.0
Season 3,0.23778195488721804,0.28331466965285557,0.25855901890648947,893.0
Season 4,0.24923391215526047,0.28306264501160094,0.265073329712113,862.0
Season 5,0.24104234527687296,0.19499341238471674,0.21558630735615442,759.0
Season 6,0.2739463601532567,0.20028011204481794,0.2313915857605178,714.0
Season 7,0.39950980392156865,0.26721311475409837,0.3202357563850688,610.0
Season 8,0.39805825242718446,0.11202185792349727,0.1748400852878465,366.0
accuracy,0.26630980260956844,0.26630980260956844,0.26630980260956844,0.26630980260956844
macro avg,0.2907908404185644,0.2508390238612891,0.2562076134882363,5978.0
weighted avg,0.2779471036590576,0.26630980260956844,0.2624233599002327,5978.0
